algorithm,n,time
grade_school_multiply,4,4.619999890564941e-05
grade_school_multiply,8,0.0001412999990861863
grade_school_multiply,16,0.0004138000003877096
grade_school_multiply,32,0.0016342999988410156
grade_school_multiply,64,0.006328399998892564
grade_school_multiply,128,0.025092899999435758
grade_school_multiply,256,0.10173629999917466
grade_school_multiply,512,0.41078899999774876
grade_school_multiply,1024,1.6479710999992676
divide_and_conquer_multiply,4,4.859999899053946e-05
divide_and_conquer_multiply,8,0.000158200000441866
divide_and_conquer_multiply,16,0.0006236999979591928
divide_and_conquer_multiply,32,0.0026692999999795575
divide_and_conquer_multiply,64,0.010079100000439212
divide_and_conquer_multiply,128,0.03973229999974137
divide_and_conquer_multiply,256,0.16234700000131852
divide_and_conquer_multiply,512,0.6466857999985223
divide_and_conquer_multiply,1024,2.5851814999987255
karatsuba,4,0.00018590000036056153
karatsuba,8,0.0004805999997188337
karatsuba,16,0.0014639000000897795
karatsuba,32,0.004811400001926813
karatsuba,64,0.01504170000043814
karatsuba,128,0.046000700000149664
karatsuba,256,0.14288979999764706
karatsuba,512,0.4411755000000994
karatsuba,1024,1.3354456999986724
